config,global_heads,local_heads,seed,global_f1,global_mAP,global_acc,SPH_f1,PTB-XL_f1,SXPH_f1,G12EC_f1,SPH_mAP,PTB-XL_mAP,SXPH_mAP,G12EC_mAP,SPH_acc,PTB-XL_acc,SXPH_acc,G12EC_acc
global4_local4,4,4,456,0.6276998242321328,0.4998111393082426,0.4746782650142993,0.8764138217287538,0.7299077733860343,0.8596772206480227,0.7448754336171555,0.6025881155748563,0.610732830476852,0.4053314378559879,0.44825778037752667,0.8283166109253066,0.5399579390115667,0.793631100082713,0.5447219983883964
global4_local4,4,4,789,0.6684569766140763,0.47672393312879235,0.5445662535748331,0.8655435806215339,0.6933797909407665,0.8357435526632924,0.6871489924017179,0.5469133846801009,0.5480151979052985,0.3746132761754378,0.39230939621226996,0.8185061315496098,0.491062039957939,0.7460711331679074,0.46978243352135374
global5_local3,5,3,unknown,0.0,0.05815973007972862,0.0,0.0,0.0,0.0,0.0,0.052485058704967356,0.07099789741359834,0.05892804143120647,0.06801199799299118,0.0,0.0,0.0,0.0
global5_local3,5,3,unknown,0.5402082633523682,0.44471911691009575,0.35355100095328884,0.8748303580749557,0.7230524008766687,0.8650458943190276,0.7113237639553429,0.5902674814640037,0.6050578277271796,0.40195741167781873,0.4271200740741949,0.8336677814938684,0.5449526813880127,0.8052109181141439,0.4939564867042707
global5_local3,5,3,1024,0.5766294017204162,0.4832495790553031,0.392278360343184,0.8751951701884043,0.7480810864003149,0.8649776087356604,0.7396413110698825,0.596129722754566,0.6182210637984416,0.40422081340842714,0.424637329147526,0.8323299888517279,0.57465825446898,0.7999724290046871,0.5173247381144238
global5_local3,5,3,123,0.6708398848903788,0.5025884583751745,0.5254408960915157,0.8761491581448198,0.7420770355923939,0.8647387486952784,0.7520098948670377,0.598408489500285,0.6022001119234603,0.40688944374999414,0.4454109111161418,0.8251950947603122,0.5665089379600421,0.8016266887234629,0.5503626107977437
global5_local3,5,3,42,0.5467927076299798,0.4577045421641124,0.36278598665395617,0.878273622459669,0.7224827861490869,0.8553892403081356,0.7023411371237458,0.5849995941651275,0.6271298561512261,0.39822017229605805,0.41691375243869044,0.8343366778149387,0.5525762355415352,0.7996967190515578,0.47542304593070106
global5_local3,5,3,456,0.6390290224939166,0.46266545850203,0.48587940896091514,0.8711010121875645,0.7344306478005583,0.8640753259295026,0.7264314632735686,0.5826477966268959,0.5950003905780628,0.4035390092585681,0.43172569462728794,0.8238573021181717,0.5678233438485805,0.7958367797077475,0.4939564867042707
global5_local3,5,3,789,0.6625830986733242,0.5145846068109701,0.5170400381315539,0.8872787496118414,0.7525456292026897,0.860957421217224,0.7396668723010488,0.5952593071336315,0.6211066512243779,0.4100237458792817,0.43439376655878925,0.8416945373467113,0.5759726603575184,0.7856355114419631,0.532634971796938
global6_local2,6,2,unknown,0.0,0.07703297141838196,0.0,0.0,0.0,0.0,0.0,0.06434127386628768,0.08175128148320195,0.08016817900250625,0.09119063090617814,0.0,0.0,0.0,0.0
